TIME,REP_AIRP,UNIT,TRA_MEAS,AIRLINE,Value,Flag and Footnotes
2018M01,KITHIRA/ALEXANDROS ARISTOTELOUS ONASSIS airport,Passenger,Passengers carried,All airlines,925,
2018M01,KEFALLINIA/ANNA POLLATOU airport,Passenger,Passengers carried,All airlines,1 823,
2018M01,KASTELORIZO airport,Passenger,Passengers carried,All airlines,162,
2018M01,KALAMATA airport,Passenger,Passengers carried,All airlines,812,
2018M01,KOS/IPPOKRATIS airport,Passenger,Passengers carried,All airlines,17 233,
2018M01,KARPATHOS airport,Passenger,Passengers carried,All airlines,2 691,
2018M01,KERKIRA/IOANNIS KAPODISTRIAS airport,Passenger,Passengers carried,All airlines,19 411,
2018M01,KASSOS airport,Passenger,Passengers carried,All airlines,68,
2018M01,KAVALA/MEGAS ALEXANDROS airport,Passenger,Passengers carried,All airlines,32 422,
2018M01,KALYMNOS airport,Passenger,Passengers carried,All airlines,492,
2018M01,KOZANI/FILIPPOS airport,Passenger,Passengers carried,All airlines,409,
2018M01,LEROS airport,Passenger,Passengers carried,All airlines,705,
2018M01,LIMNOS/IFAISTOS airport,Passenger,Passengers carried,All airlines,3 430,
2018M01,MIKONOS airport,Passenger,Passengers carried,All airlines,2 965,
2018M01,MILOS airport,Passenger,Passengers carried,All airlines,1 327,
2018M01,MITILINI/ODYSSEAS ELYTIS airport,Passenger,Passengers carried,All airlines,20 133,
2018M01,NAXOS airport,Passenger,Passengers carried,All airlines,1 821,
2018M01,PAROS airport,Passenger,Passengers carried,All airlines,4 393,
2018M01,ASTYPALAIA airport,Passenger,Passengers carried,All airlines,315,
2018M01,PREVEZA/AKTION airport,Passenger,Passengers carried,All airlines,145,
2018M01,RODOS/DIAGORAS airport,Passenger,Passengers carried,All airlines,58 205,
2018M01,ARAXOS airport,Passenger,Passengers carried,All airlines,:,
2018M01,CHANIA/IOANNIS DASKALOGIANNIS airport,Passenger,Passengers carried,All airlines,43 249,
2018M01,SKIATHOS/ALEXANDROS PAPADIAMANDIS airport,Passenger,Passengers carried,All airlines,873,
2018M01,SAMOS/ARISTARCHOS OF SAMOS airport,Passenger,Passengers carried,All airlines,9 826,
2018M01,SYROS/DIMITRIOS VIKELAS airport,Passenger,Passengers carried,All airlines,962,
2018M01,SANTORINI airport,Passenger,Passengers carried,All airlines,30 304,
2018M01,SITIA/VITSENTZOS KORNAROS airport,Passenger,Passengers carried,All airlines,1 283,
2018M01,SKIROS airport,Passenger,Passengers carried,All airlines,360,
2018M01,THESSALONIKI/MAKEDONIA airport,Passenger,Passengers carried,All airlines,305 192,
2018M01,VOLOS airport,Passenger,Passengers carried,All airlines,:,
2018M01,ZAKINTHOS/DIONISIOS SOLOMOS airport,Passenger,Passengers carried,All airlines,2 795,
2018M01,FUERTEVENTURA airport,Passenger,Passengers carried,All airlines,468 183,
2018M01,LA GOMERA airport,Passenger,Passengers carried,All airlines,3 219,
2018M01,HIERRO airport,Passenger,Passengers carried,All airlines,17 144,
2018M01,LA PALMA airport,Passenger,Passengers carried,All airlines,112 763,
2018M01,GRAN CANARIA airport,Passenger,Passengers carried,All airlines,1 161 563,
2018M01,LANZAROTE airport,Passenger,Passengers carried,All airlines,554 718,
2018M01,TENERIFE SUR/REINA SOFIA airport,Passenger,Passengers carried,All airlines,956 609,
2018M01,TENERIFE NORTE airport,Passenger,Passengers carried,All airlines,374 349,
2018M01,CEUTA airport,Passenger,Passengers carried,All airlines,:,
2018M01,MELILLA airport,Passenger,Passengers carried,All airlines,24 505,
2018M01,ALBACETE airport,Passenger,Passengers carried,All airlines,:,
2018M01,ALICANTE airport,Passenger,Passengers carried,All airlines,704 666,
2018M01,ALMERIA airport,Passenger,Passengers carried,All airlines,30 068,
2018M01,ASTURIAS airport,Passenger,Passengers carried,All airlines,90 949,
2018M01,CORDOBA airport,Passenger,Passengers carried,All airlines,:,
2018M01,BILBAO airport,Passenger,Passengers carried,All airlines,299 856,
2018M01,BURGOS airport,Passenger,Passengers carried,All airlines,183,
2018M01,BARCELONA/EL PRAT airport,Passenger,Passengers carried,All airlines,3 054 189,
2018M01,BADAJOZ airport,Passenger,Passengers carried,All airlines,3 064,
2018M01,A CORUNA airport,Passenger,Passengers carried,All airlines,83 511,
2018M01,MADRID/CUATRO VIENTOS airport,Passenger,Passengers carried,All airlines,:,
2018M01,GIRONA airport,Passenger,Passengers carried,All airlines,41 442,
2018M01,GRANADA/FEDERICO GARCIA LORCA GRANADA-JAEN airport,Passenger,Passengers carried,All airlines,72 567,
2018M01,IBIZA airport,Passenger,Passengers carried,All airlines,164 190,
2018M01,JEREZ airport,Passenger,Passengers carried,All airlines,40 128,
2018M01,MURCIA/SAN JAVIER airport,Passenger,Passengers carried,All airlines,45 134,
2018M01,SABADELL airport,Passenger,Passengers carried,All airlines,:,
2018M01,LEON airport,Passenger,Passengers carried,All airlines,2 644,
2018M01,LOGRONO/AGONCILLO airport,Passenger,Passengers carried,All airlines,:,
2018M01,ADOLFO SUAREZ MADRID-BARAJAS airport,Passenger,Passengers carried,All airlines,4 124 962,
2018M01,MALAGA/COSTA DEL SOL airport,Passenger,Passengers carried,All airlines,929 271,
2018M01,MENORCA airport,Passenger,Passengers carried,All airlines,63 683,
2018M01,PALMA DE MALLORCA airport,Passenger,Passengers carried,All airlines,704 967,
2018M01,PAMPLONA airport,Passenger,Passengers carried,All airlines,13 383,
2018M01,LOGRONO airport,Passenger,Passengers carried,All airlines,:,
2018M01,REUS airport,Passenger,Passengers carried,All airlines,6 326,
2018M01,SALAMANCA airport,Passenger,Passengers carried,All airlines,157,
2018M01,SAN SEBASTIAN airport,Passenger,Passengers carried,All airlines,20 051,
2018M01,SANTIAGO airport,Passenger,Passengers carried,All airlines,176 986,
